A,B,C,D,E
0.5,0.2,0.2,0.13333333333333333,0.35714285714285715
0.125,0.4666666666666667,0.3333333333333333,0.0,0.5
0.5,0.3333333333333333,0.13333333333333333,0.06666666666666668,0.6428571428571429
0.0625,0.26666666666666666,0.3333333333333333,0.6,0.0
0.3125,0.0,0.26666666666666666,0.3333333333333333,0.5714285714285714
0.4375,0.2,0.3333333333333333,0.2,0.6428571428571429
0.0625,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.6428571428571429
0.0,0.6,0.13333333333333333,0.26666666666666666,0.6428571428571429
0.0625,0.6,0.3333333333333333,0.0,0.2857142857142857
0.375,0.2,0.4,0.3333333333333333,0.2857142857142857
